Process 1, Execution Time: 2.00541 seconds
Process 2, Execution Time: 1.90262 seconds
Process 3, Execution Time: 1.83355 seconds
Process 4, Execution Time: 1.88677 seconds
Process 5, Execution Time: 2.03808 seconds
Process 6, Execution Time: 1.86742 seconds
Process 7, Execution Time: 1.85073 seconds
Process 8, Execution Time: 1.86963 seconds
Process 9, Execution Time: 1.90337 seconds
Process 10, Execution Time: 1.89768 seconds
Process 11, Execution Time: 1.85265 seconds
Process 12, Execution Time: 1.85944 seconds
Process 13, Execution Time: 1.87468 seconds
Process 14, Execution Time: 1.81519 seconds
Process 15, Execution Time: 1.84304 seconds
